,t,x_earth,y_earth,x_moon,y_moon,x_geo,y_geo
126,252.69230769230768,-85209712.00967336,123447579.88404848,-85473189.75741445,123173756.07857262,-85230162.34055568,123477207.30322064
127,254.6978021978022,-87327802.15811557,121958414.92177992,-87521659.21504506,121631582.48538683,-87348760.8306335,121987684.94136114
128,256.7032967032967,-89419872.82038379,120432912.21583238,-89533829.72066943,120070401.76787634,-89441333.58986068,120461816.11476418
129,258.7087912087912,-91485300.66001089,118871526.29266359,-91513314.72415784,118492560.31502183,-91507257.13216929,118900055.45897382
130,260.7142857142857,-93523470.27881002,117274722.3702045,-93464056.0328315,116899395.91580139,-93545915.91167694,117302868.30357334
131,262.7197802197802,-95533774.40023334,115642976.21924697,-95390082.344406,115291191.35161889,-95556702.5060894,115670730.5335396
132,264.72527472527474,-97515614.05031164,113976774.02168682,-97295263.60072298,113667184.48800379,-97539017.79768372,114004128.44745202
133,266.7307692307692,-99468398.73611924,112276612.2256652,-99183074.19744998,112025634.32298614,-99492271.1518159,112303558.61259936
134,268.7362637362637,-101391546.6217131,110542997.39765057,-101056377.61520487,110363939.48222575,-101415880.5929023,110569527.71702601
135,270.74175824175825,-103284484.70149153,108776446.0715065,-102917243.90153135,108678802.86977383,-103309272.97781989,108802552.41856366
136,272.74725274725273,-105146648.97092237,106977484.59458947,-104766809.69107023,106966433.73573545,-105171884.16667539,107003159.19089217
137,274.75274725274727,-106977484.59458941,105146648.97092244,-106605188.1954996,105222776.43787594,-107003159.19089212,105171884.16667546
138,276.75824175824175,-108776446.07150643,103284484.70149161,-108431433.94497831,103443753.75858855,-108802552.41856359,103309272.97781996
139,278.76373626373623,-110542997.39765045,101391546.62171322,-110243564.15943101,101625511.8666737,-110569527.71702588,101415880.59290244
140,280.7692307692308,-112276612.22566512,99468398.73611933,-112038635.62500978,99764653.92601569,-112303558.61259928,99492271.151816
141,282.77472527472526,-113976774.02168678,97515614.0503117,-113812873.00770196,97858449.955104,-114004128.44745198,97539017.79768378
142,284.7802197802198,-115642976.21924691,95533774.40023343,-115561841.80839504,95905011.80052565,-115670730.53353953,95556702.5060895
143,286.7857142857143,-117274722.37020446,93523470.27881004,-117280656.79639636,93903423.9372814,-117302868.30357331,93545915.91167696
144,288.79120879120876,-118871526.29266354,91485300.66001095,-118964214.87696907,91853823.15096562,-118900055.45897378,91507257.13216935
145,290.7967032967033,-120432912.21583237,89419872.8203838,-120607440.05264789,89757422.867305,-120461816.11476417,89441333.5898607
146,292.8021978021978,-121958414.92177984,87327802.15811564,-122205527.49665155,87616480.82954857,-121987684.94136107,87348760.8306336
147,294.8076923076923,-123447579.88404845,85209712.00967337,-123754173.80362892,85434211.82810599,-123477207.30322061,85230162.3405557
148,296.8131868131868,-124899963.40308094,83066233.46407999,-125249781.21576835,83214650.10036649,-124929939.39429767,83086169.36011137
149,298.81868131868134,-126315132.73842177,80898005.17487988,-126689625.00211689,80962468.687292,-126345448.37027898,80917420.69612186
150,300.8241758241758,-127692666.23765267,78705673.16985121,-128071975.1226222,78682765.31567049,-127723312.47754972,78724562.53141198
151,302.8296703296703,-129032153.46202506,76489890.65852043,-129396165.73233798,76380826.14980365,-129063121.17885594,76508248.23227848
152,304.83516483516485,-130333195.30875097,74251317.83753723,-130662608.84688586,74061879.92978524,-130364475.27562508,74269138.15381823
153,306.84065934065933,-131595404.12991628,71990621.693968,-131872751.45099755,71730855.52317387,-131626987.02690746,72007899.44317456
154,308.84615384615387,-132818403.84798147,69708475.8065653,-133028978.33077033,69392155.73575379,-132850280.26490499,69725205.84075888
155,310.85164835164835,-134001830.06783444,67405560.14507425,-134134465.78814293,67049459.364819214,-134033990.50705072,67421737.47950907
156,312.85714285714283,-135145330.18536285,65082560.86763379,-135192994.00043806,64705561.98072234,-135177765.06460732,65098180.68224202
157,314.8626373626374,-136248563.49251306,62740170.11633482,-136208727.98052025,62362263.8687227,-136281263.14775127,62755227.75716274
158,316.86813186813185,-137311201.2788049,60379085.810995206,-137185978.75791767,60020311.06235387,-137344155.9671118,60393576.79158985
159,318.8736263736264,-138332926.92927155,58000011.44121287,-138128957.4498718,57679392.5841982,-138366126.83173457,58013931.44395876
160,320.8791208791209,-139313436.0187953,55603655.85676019,-139041535.2681091,55338194.02941721,-139346871.24343982,55617000.73416581
161,322.88461538461536,-140252436.40281218,53190733.05638044,-139927022.19219348,52994504.63966306,-140286096.98754886,53203498.83231398
162,324.8901098901099,-141149648.30435646,50761961.97505057,-140787976.0503084,50645372.17853391,-141183524.2199495,50774144.84592458
163,326.8956043956044,-142004804.39742088,48318066.269773625,-141626052.13574392,48287297.38492887,-142038885.55047625,48329662.60567837
